date,value
1/1/1949,112
2/1/1949,118
3/1/1949,132
4/1/1949,129
5/1/1949,121
6/1/1949,135
7/1/1949,148
8/1/1949,148
9/1/1949,136
10/1/1949,119
11/1/1949,104
12/1/1949,118
1/1/1950,115
2/1/1950,126
3/1/1950,141
4/1/1950,135
5/1/1950,125
6/1/1950,149
7/1/1950,170
8/1/1950,170
9/1/1950,158
10/1/1950,133
11/1/1950,114
12/1/1950,140
1/1/1951,145
2/1/1951,150
3/1/1951,178
4/1/1951,163
5/1/1951,172
6/1/1951,178
7/1/1951,199
8/1/1951,199
9/1/1951,184
10/1/1951,162
11/1/1951,146
12/1/1951,166
1/1/1952,171
2/1/1952,180
3/1/1952,193
4/1/1952,181
5/1/1952,183
6/1/1952,218
7/1/1952,230
8/1/1952,242
9/1/1952,209
10/1/1952,191
11/1/1952,172
12/1/1952,194
1/1/1953,196
2/1/1953,196
3/1/1953,236
4/1/1953,235
5/1/1953,229
6/1/1953,243
7/1/1953,264
8/1/1953,272
9/1/1953,237
10/1/1953,211
11/1/1953,180
12/1/1953,201
1/1/1954,204
2/1/1954,188
3/1/1954,235
4/1/1954,227
5/1/1954,234
6/1/1954,264
7/1/1954,302
8/1/1954,293
9/1/1954,259
10/1/1954,229
11/1/1954,203
12/1/1954,229
1/1/1955,242
2/1/1955,233
3/1/1955,267
4/1/1955,269
5/1/1955,270
6/1/1955,315
7/1/1955,364
8/1/1955,347
9/1/1955,312
10/1/1955,274
11/1/1955,237
12/1/1955,278
1/1/1956,284
2/1/1956,277
3/1/1956,317
4/1/1956,313
5/1/1956,318
6/1/1956,374
7/1/1956,413
8/1/1956,405
9/1/1956,355
10/1/1956,306
11/1/1956,271
12/1/1956,306
1/1/1957,315
2/1/1957,301
3/1/1957,356
4/1/1957,348
5/1/1957,355
6/1/1957,422
7/1/1957,465
8/1/1957,467
9/1/1957,404
10/1/1957,347
11/1/1957,305
12/1/1957,336
1/1/1958,340
2/1/1958,318
3/1/1958,362
4/1/1958,348
5/1/1958,363
6/1/1958,435
7/1/1958,491
8/1/1958,505
9/1/1958,404
10/1/1958,359
11/1/1958,310
12/1/1958,337
1/1/1959,360
2/1/1959,342
3/1/1959,406
4/1/1959,396
5/1/1959,420
6/1/1959,472
7/1/1959,548
8/1/1959,559
9/1/1959,463
10/1/1959,407
11/1/1959,362
12/1/1959,405
1/1/1960,417
2/1/1960,391
3/1/1960,419
4/1/1960,461
5/1/1960,472
6/1/1960,535
7/1/1960,622
8/1/1960,606
9/1/1960,508
10/1/1960,461
11/1/1960,390
12/1/1960,432
