date,Cumulative_solar_power,kWh electricity/day,Gas/day
26/10/2011,0.1,15.1,9
27/10/2011,10.2,7.4,9.2
28/10/2011,20.2,5.8,8
29/10/2011,29.6,4.9,6.6
30/10/2011,34.2,11.7,5.3
31/10/2011,38,11,5.7
1/11/2011,46.6,3.5,5.3
2/11/2011,51.6,10.5,5.4
3/11/2011,58.6,6.9,7.6
4/11/2011,60.5,10.3,5.5
5/11/2011,65.7,12,5.2
6/11/2011,71.8,11.9,4.8
7/11/2011,73.3,16.7,5.3
8/11/2011,73.8,11.1,7.3
9/11/2011,76.1,13,8.3
10/11/2011,82.5,7.6,7.2
11/11/2011,89.1,8.9,10.5
12/11/2011,95.5,12.9,10.2
13/11/2011,99.9,10.7,10.7
14/11/2011,101.4,10.2,9.9
15/11/2011,109.1,7.2,11.4
16/11/2011,116,9.4,13.6
17/11/2011,122.3,10.1,16.1
18/11/2011,124.3,14.6,12.8
19/11/2011,130.5,8.4,10.3
20/11/2011,136.5,12.2,12.6
21/11/2011,142.5,17.7,12.8
22/11/2011,145,11.5,13.4
23/11/2011,148.3,13.5,11.9
24/11/2011,149.8,13,9.7
25/11/2011,151.7,17.8,12.6
26/11/2011,152.4,16.9,11.3
27/11/2011,156.1,12.6,12.6
28/11/2011,157.4,14.5,12.5
29/11/2011,163.9,9.1,10.7
30/11/2011,165.3,17,13.4
1/12/2011,170.7,9.9,11
2/12/2011,172.1,16.9,10.6
3/12/2011,174.7,14.1,14.4
4/12/2011,175.3,18.7,12.7
5/12/2011,176.3,15.6,10.7
6/12/2011,178.8,8.5,15
7/12/2011,180.5,16,15.7
8/12/2011,182,13.9,15.4
9/12/2011,183.6,15.6,15.4
10/12/2011,188.4,11.5,15.2
11/12/2011,192.6,14.4,15.4
12/12/2011,195,12,15.5
13/12/2011,197.8,13.7,14.2
14/12/2011,199.1,15.2,13.7
15/12/2011,200.1,19.5,16.2
16/12/2011,201.6,14.1,15.8
17/12/2011,201.8,17,17.3
18/12/2011,205.4,17,17.8
19/12/2011,209.7,16.6,16
20/12/2011,211.6,15.5,20.1
21/12/2011,214.4,12.4,14.4
22/12/2011,215.3,17.5,14.2
23/12/2011,216.2,18.4,12.9
24/12/2011,217.4,14.3,11.1
25/12/2011,219.7,10.9,12.4
26/12/2011,220.3,14.2,14.1
27/12/2011,220.7,14.6,11.5
28/12/2011,221.2,17,11.4
29/12/2011,221.7,9.3,12.7
30/12/2011,222.6,15.3,15.4
31/12/2011,226.2,11.5,15.2
1/01/2012,226.7,16,13.6
2/01/2012,227.5,18.8,10.6
3/01/2012,230.4,15.5,11.7
4/01/2012,231.2,19.3,19.3
5/01/2012,233.9,6.9,10.6
6/01/2012,235.5,16.1,14.9
7/01/2012,236.5,14.9,15.4
8/01/2012,240.6,15.1,14.6
9/01/2012,245.8,13.2,13.5
10/01/2012,246.8,10.9,11.8
11/01/2012,248.3,11.1,11.1
12/01/2012,249.9,13.6,11.4
13/01/2012,251.3,14.8,14
14/01/2012,254.7,13.1,13.5
15/01/2012,258.1,13.6,14.7
16/01/2012,263.5,7.7,16
17/01/2012,269.4,10.9,16.6
18/01/2012,274.8,7.3,18.3
19/01/2012,276.5,15.7,17.3
20/01/2012,277.3,18.3,17.1
21/01/2012,278.1,15.5,14.5
22/01/2012,278.9,19.7,14.7
23/01/2012,282.8,12.3,15.5
24/01/2012,286.1,10.5,13.6
25/01/2012,288.2,15.3,15.8
26/01/2012,289.6,11.7,13.5
27/01/2012,290.7,16.7,14.7
28/01/2012,297,7.7,13.7
29/01/2012,300.3,18.1,15.6
30/01/2012,301.6,17.4,17.9
31/01/2012,301.8,16,21.8
1/02/2012,307.4,8.9,19.2
2/02/2012,315.8,7.8,25
3/02/2012,324.3,7.6,28
4/02/2012,326.6,13.5,28
5/02/2012,334.2,15.8,26
6/02/2012,339.8,9.8,26
7/02/2012,348.4,7.6,25
8/02/2012,355.7,11.1,29
9/02/2012,363.6,9,25
10/02/2012,367.3,13.6,24
11/02/2012,376.9,8.1,27
12/02/2012,383.3,16.4,27
13/02/2012,385.9,18,25
14/02/2012,388.9,13,20
15/02/2012,393.6,11,16
16/02/2012,396,15,16
17/02/2012,399.6,15,15
18/02/2012,404.8,11,16
19/02/2012,406.3,16,16
20/02/2012,413.6,13,15
21/02/2012,424.3,3,16
22/02/2012,430.7,11,17
23/02/2012,436.9,10,17
24/02/2012,439.3,14,14
25/02/2012,441.6,13,12
26/02/2012,450.7,2,12
27/02/2012,453.3,15,14
28/02/2012,457.2,12,13
29/02/2012,458.7,15,12
1/03/2012,461.2,14,11
2/03/2012,463.5,13,10
3/03/2012,465.3,13,13
4/03/2012,471.4,14,9
5/03/2012,475.5,12,12
6/03/2012,477.1,14,13
7/03/2012,483.5,8,13
8/03/2012,485.8,11,16
9/03/2012,498,6,16
10/03/2012,504.1,10,13
11/03/2012,508.2,7,11
12/03/2012,524.3,-1,7
13/03/2012,538,-3,12
14/03/2012,541.5,11,9
15/03/2012,554.7,3,11
16/03/2012,571.9,-2,9
17/03/2012,587.6,-1,8
18/03/2012,592.5,5,11
19/03/2012,601.5,9,16
20/03/2012,619.3,-3,12
21/03/2012,632.5,-1,10
22/03/2012,650.8,-2,11
23/03/2012,668.5,-2,5
24/03/2012,686.2,-5,6
25/03/2012,703.3,-5,3
26/03/2012,723.5,-2,7
27/03/2012,742.8,-4,7
28/03/2012,760.7,-7,6
29/03/2012,780.1,-3,8
30/03/2012,794.3,1,7
31/03/2012,796.6,12,10
1/04/2012,804.2,9,11
2/04/2012,823.3,-4,19
3/04/2012,844.2,-5,9
4/04/2012,860.3,-1,9
5/04/2012,872.4,3,9
6/04/2012,878.2,3,10
7/04/2012,900.2,-7,10
8/04/2012,910.9,8,12
9/04/2012,922.1,6,12
10/04/2012,927.9,1,10
11/04/2012,933.1,11,10
12/04/2012,940.5,11,12
13/04/2012,953.9,3,11
14/04/2012,972.9,-6,19
15/04/2012,992.4,-3,20
16/04/2012,1001.1,8,11
17/04/2012,1021.3,-8,11
18/04/2012,1029.5,7,13
19/04/2012,1041.9,4,13
20/04/2012,1059,-3,11
21/04/2012,1072.4,10,11
22/04/2012,1086.1,2,11
23/04/2012,1103.4,-4,11
24/04/2012,1114.9,2,10
25/04/2012,1126.1,6,10
26/04/2012,1133.9,10,9
27/04/2012,1147.7,2,10
28/04/2012,1158.9,2,8
29/04/2012,1167,7,6
30/04/2012,1186.9,10,5
1/05/2012,1202,-8,5
2/05/2012,1222.9,-7,3
3/05/2012,1228,8,6
4/05/2012,1233,8,4
5/05/2012,1253.5,-7,6
6/05/2012,1258.9,12,5
7/05/2012,1270.9,5,8
8/05/2012,1292.2,-8,6
9/05/2012,1302.6,3,7
10/05/2012,1318.4,3,4
11/05/2012,1327.7,5,2
12/05/2012,1338.1,3,4
13/05/2012,1359,-7,5
14/05/2012,1381.3,-5,6
15/05/2012,1410,-15,5
16/05/2012,1421.5,-1,7
17/05/2012,1452,-17,8
18/05/2012,1469,-2,8
19/05/2012,1477,1,6
20/05/2012,1499,-9,2
21/05/2012,1518,-3,2
22/05/2012,1533,-6,2
23/05/2012,1561.9,-13,2
24/05/2012,1588.2,-14,1
25/05/2012,1607.5,-12,1
26/05/2012,1636.7,-20,1
27/05/2012,1665,-15,1
28/05/2012,1692.3,-11,1
29/05/2012,1721.6,-17,1
30/05/2012,1746.3,3,1
31/05/2012,1769.4,-10,1
1/06/2012,1782.5,-4,1
2/06/2012,1802.4,-10,1
3/06/2012,1825.9,-12,2
4/06/2012,1829.1,11,4
5/06/2012,1836.4,7,6
6/06/2012,1864.2,-5,6
7/06/2012,1881.1,-1,5
8/06/2012,1893.6,2,2
9/06/2012,1916,12,3
10/06/2012,1936.8,-4,4
11/06/2012,1948.9,-1,3
12/06/2012,1959.3,-1,3
13/06/2012,1968.7,3,4
14/06/2012,1981.3,3,5
15/06/2012,2007.3,-13,3
16/06/2012,2015.3,2,3
17/06/2012,2034.2,-3,3
18/06/2012,2056.7,-17,2
19/06/2012,2069.9,-1,3
20/06/2012,2090.4,-7,2
21/06/2012,2110.9,-5,2
22/06/2012,2122.7,-1,1
23/06/2012,2142.4,6,1
24/06/2012,2162.4,-6,3
25/06/2012,2173.1,5,3
26/06/2012,2195.7,-7,4
27/06/2012,2219.1,-10,2
28/06/2012,2228.8,3,1
29/06/2012,2251.2,-12,1
30/06/2012,2270.3,-9,1
1/07/2012,2294.4,-10,1
2/07/2012,2317.9,-13,1
3/07/2012,2343.5,-12,1
4/07/2012,2356,1,1
5/07/2012,2376.1,-8,1
6/07/2012,2391.1,-3,1
7/07/2012,2412.8,-11,1
8/07/2012,2430.5,-4,1
9/07/2012,2445.3,0,1
10/07/2012,2456.1,2,1
11/07/2012,2468.7,-2,2
12/07/2012,2484,-10,2
13/07/2012,2500,-15,2
14/07/2012,2515,-15,2
15/07/2012,2531.4,-10,2
16/07/2012,2545.5,1,5
17/07/2012,2552.8,7,5
18/07/2012,2563.4,5,4
19/07/2012,2582.8,-5,3
20/07/2012,2595.9,2.4,2
21/07/2012,2605,4,4
22/07/2012,2627.4,-8,3
23/07/2012,2653.4,-19,2
24/07/2012,2680.6,-15,1
25/07/2012,2707.3,-15,1
26/07/2012,2733,-12,0
27/07/2012,2756,-13,0
28/07/2012,2771.2,-4,0
29/07/2012,2783.7,0,0
30/07/2012,2801.7,-9,0
31/07/2012,2817.4,-6,0
1/08/2012,2825.8,7,3
2/08/2012,2840.6,0,2
3/08/2012,2858.7,-7,1
4/08/2012,2873.3,-1,1
5/08/2012,2888.9,-2,1
6/08/2012,2904.7,-4,1
7/08/2012,2918.8,-4,1
8/08/2012,2932.3,1,2
9/08/2012,2943.8,2,3
10/08/2012,2964.1,-6,2
11/08/2012,2990.1,-7,1
12/08/2012,3014.5,-8,0
13/08/2012,3040.6,-16,0
14/08/2012,3059.6,-6,0
15/08/2012,3072.4,-3,0
16/08/2012,3086.3,-5,0
17/08/2012,3100.6,-2,0
18/08/2012,3125,-12,4
19/08/2012,3147.2,-12,0
20/08/2012,3164.3,-7,0
21/08/2012,3174.7,0,0
22/08/2012,3190.5,-3,0
23/08/2012,3207.2,-5,0
24/08/2012,3229.2,-13,0
25/08/2012,3245,-2,0
26/08/2012,3256.5,2,2
27/08/2012,3270.1,4,1
28/08/2012,3286.8,-4,3
29/08/2012,3306.3,-3,2
30/08/2012,3325.5,-7,1
31/08/2012,3337.4,3,2
1/09/2012,3351,2,4
2/09/2012,3374,-13,3
3/09/2012,3389.6,1,2
4/09/2012,3407.6,-6,2
5/09/2012,3427.6,-8,2
6/09/2012,3445.6,-4,2
7/09/2012,3466.3,-8,2
8/09/2012,3487.1,-10,3
9/09/2012,3507.5,-11,2
10/09/2012,3528.3,-7,1
11/09/2012,3543.6,-3,1
12/09/2012,3553,2,2
13/09/2012,3566.5,2,3
14/09/2012,3576.3,5,5
15/09/2012,3582.1,10,6
16/09/2012,3597.6,2,3
17/09/2012,3613.6,-1,3
18/09/2012,3620.2,4,3
19/09/2012,3636.5,-2,4
20/09/2012,3650.5,2,6
21/09/2012,3662.8,0,6
22/09/2012,3672,8,6
23/09/2012,3689.6,-2,6
24/09/2012,3694,10,6
25/09/2012,3700.3,8,7
26/09/2012,3710.5,5,6
27/09/2012,3720.9,4,6
28/09/2012,3730.8,7,6
29/09/2012,3741,4,6
30/09/2012,3755.7,0,7
1/10/2012,3771.7,-7,6
2/10/2012,3781.2,4,7
3/10/2012,3788.8,7,4
4/10/2012,3792.4,11,8
5/10/2012,3806.7,2,6
6/10/2012,3810.9,10,6
7/10/2012,3814.4,12,7
8/10/2012,3826.6,5,7
9/10/2012,3835,6,9
10/10/2012,3840.7,9,10
11/10/2012,3851.8,5,8
12/10/2012,3862,5,7
13/10/2012,3870.2,7,11
14/10/2012,3872.3,14,10
15/10/2012,3877.7,16,10
16/10/2012,3885.3,8,9
17/10/2012,3894.8,8,10
18/10/2012,3899.2,12,6
19/10/2012,3902.3,14,4
20/10/2012,3906.9,7,4
21/10/2012,3910.1,7,6
22/10/2012,3915.6,9,3
23/10/2012,3925.2,5,4
24/10/2012,3933.4,6,5
25/10/2012,3942.1,7,5
26/10/2012,3943.6,11,11
27/10/2012,3945.6,11,14
28/10/2012,3954.8,7,12
29/10/2012,3964.1,5,10
30/10/2012,3965.9,4,12
31/10/2012,3970.2,11,12
1/11/2012,3979.1,8,12
2/11/2012,3983.2,12,12
3/11/2012,3987.2,10,14
4/11/2012,3993.8,11,12
5/11/2012,3998.3,12,13
6/11/2012,4001.2,14,13
7/11/2012,4005.5,10,13
8/11/2012,4008.6,13,11
9/11/2012,4011.2,13,10
10/11/2012,4014.9,13,10
11/11/2012,4015.9,10,10
12/11/2012,4020.2,20,10
13/11/2012,4022.1,16,12
14/11/2012,4023.9,13,11
15/11/2012,4031.1,9,13
16/11/2012,4032.9,12,14
17/11/2012,4036.6,16,13
18/11/2012,4037.6,21,15
19/11/2012,4039.3,16,13
20/11/2012,4041.2,15,14
21/11/2012,4045.5,13,12
22/11/2012,4047.4,19,13
23/11/2012,4053.3,10,13
24/11/2012,4054.1,19,13
25/11/2012,4055,21,12
26/11/2012,4059,16,11
27/11/2012,4061.3,11,11
28/11/2012,4063.1,15,13
29/11/2012,4066.7,14,15
30/11/2012,4069.2,15,13
1/12/2012,4072,13,17
2/12/2012,4074.6,19,16
3/12/2012,4077.6,15,15
4/12/2012,4078,19,18
5/12/2012,4079.8,14,18
6/12/2012,4080.6,15,18
7/12/2012,4082.1,16,20
8/12/2012,4083.8,16,21
9/12/2012,4088.7,13,19
10/12/2012,4089,20,16
11/12/2012,4090.4,14,17
12/12/2012,4095.6,14,21
13/12/2012,4100.4,13,21
14/12/2012,4103.3,16,19
15/12/2012,4104.1,20,16
16/12/2012,4105.5,17,13
17/12/2012,4106.8,17,13
18/12/2012,4107.8,16,13
19/12/2012,4109.1,18,15
20/12/2012,4111.2,15,13
21/12/2012,4111.8,20,17
22/12/2012,4113.1,17,14
23/12/2012,4113.3,24,13
24/12/2012,4113.6,19,11
25/12/2012,4115.5,18,11
26/12/2012,4117.7,19,11
27/12/2012,4119.2,18,13
28/12/2012,4120.6,16,13
29/12/2012,4121.6,17,13
30/12/2012,4124.5,18,12
31/12/2012,4126.9,16,5
1/01/2013,4128,21,13
2/01/2013,4130.7,19,12
3/01/2013,4133.1,17,14
4/01/2013,4133.7,18,13
5/01/2013,4134.1,18,11
6/01/2013,4134.3,20,11
7/01/2013,4135.4,14,11
8/01/2013,4135.8,17,13
9/01/2013,4136.7,15,14
10/01/2013,4136.9,16,14
11/01/2013,4139.6,17,15
12/01/2013,4141.7,17,19
13/01/2013,4145.9,17,19
14/01/2013,4151.1,15,21
15/01/2013,4153.4,16,23
16/01/2013,4153.4,18,23
17/01/2013,4154.6,18,25
18/01/2013,4155.4,16,25
19/01/2013,4157.6,10,21
20/01/2013,4158.8,23,24
21/01/2013,4158.9,20,24
22/01/2013,4158.9,20,23
23/01/2013,4162.1,14,21
24/01/2013,4167,12,24
25/01/2013,4171.8,16,23
26/01/2013,4174.6,17,24
27/01/2013,4175.2,21,24
28/01/2013,4177.3,17,19
29/01/2013,4181.9,13,20
30/01/2013,4182.7,17,15
31/01/2013,4188,12,12
1/02/2013,4191,14,8
2/02/2013,4191.8,16,20
3/02/2013,4197.9,13,20
4/02/2013,4200.6,17,16
5/02/2013,4205.6,11,15
6/02/2013,4211.6,11,18
7/02/2013,4216.3,15,19
8/02/2013,4221.3,11,18
9/02/2013,4227,11,19
10/02/2013,4231.2,19,19
11/02/2013,4239.3,12,19
12/02/2013,4242,12,22
13/02/2013,4244.5,15,23
14/02/2013,4252.4,11,20
15/02/2013,4253.4,16,22
16/02/2013,4259.6,12,18
17/02/2013,4261.6,18,15
18/02/2013,4265,18,15
19/02/2013,4274.8,5,16
20/02/2013,4279.3,13,18
21/02/2013,4287.9,13,20
22/02/2013,4292.5,15,21
23/02/2013,4295.6,16,25
24/02/2013,4299.8,20,24
25/02/2013,4301.6,17,21
26/02/2013,4303.3,19,19
27/02/2013,4309.4,15,14
28/02/2013,4310.5,17,21
1/03/2013,4313.2,16,19
2/03/2013,4315.8,18,19
3/03/2013,4321.4,16,18
4/03/2013,4327.5,16,17
5/03/2013,4341.7,6,15
6/03/2013,4352.3,10,13
7/03/2013,4364.8,7,11
8/03/2013,4370.8,10,11
9/03/2013,4377.2,12,10
10/03/2013,4378.5,20,13
11/03/2013,4380.2,18,17
12/03/2013,4382.6,14,23
13/03/2013,4390.5,9,26
14/03/2013,4401.1,7,22
15/03/2013,4412.3,6,21
16/03/2013,4419,13,21
17/03/2013,4426.8,13,18
18/03/2013,4433.2,13,15
19/03/2013,4444,7,13
20/03/2013,4452.5,7,15
21/03/2013,4455.3,16,18
22/03/2013,4465.4,7,17
23/03/2013,4476.6,6,20
24/03/2013,4479.4,18,21
25/03/2013,4479.6,15,22
26/03/2013,4490.9,6,21
27/03/2013,4511.7,-1,20
28/03/2013,4531.9,-1,18
29/03/2013,4542.3,9,18
30/03/2013,4549.6,8,20
31/03/2013,4556.7,18,17
1/04/2013,4564.5,16,19
2/04/2013,4587.6,-4,17
3/04/2013,4611,-7,16
4/04/2013,4621.5,7,18
5/04/2013,4639.6,0,15
6/04/2013,4644,11,17
7/04/2013,4654.7,7,15
8/04/2013,4676.7,0,13
9/04/2013,4687.5,7,13
10/04/2013,4697,10,13
11/04/2013,4706.7,7,11
12/04/2013,4712.9,11,11
13/04/2013,4725.1,16,11
14/04/2013,4739.7,4,10
15/04/2013,4763.6,-15,4
16/04/2013,4776.9,5,5
17/04/2013,4787.2,4,6
18/04/2013,4803.7,-1,4
19/04/2013,4829.1,-9,5
20/04/2013,4843.6,-2,10
21/04/2013,4871,-8,10
22/04/2013,4893.8,-10,8
23/04/2013,4917.4,-13,9
24/04/2013,4932.1,0,7
25/04/2013,4956.2,-7,5
26/04/2013,4979.7,-11,3
27/04/2013,4981.3,16,8
28/04/2013,4996.4,1,10
29/04/2013,5025.3,-14,10
30/04/2013,5042.7,-3,10
1/05/2013,5066.4,-9,8
2/05/2013,5087.7,-4,7
3/05/2013,5111.7,-10,6
4/05/2013,5132.2,-9,4
5/05/2013,5149.7,0,7
6/05/2013,5174,-11,4
7/05/2013,5194.6,-6,2
8/05/2013,5207.8,0,3
9/05/2013,5217.9,6,4
10/05/2013,5239.5,-9,2
11/05/2013,5250.9,5,7
12/05/2013,5262.8,5,8
13/05/2013,5271.1,9,11
14/05/2013,5282.8,4,8
15/05/2013,5296.1,0,8
16/05/2013,5323,-10,8
17/05/2013,5326.7,14,9
18/05/2013,5329.7,10,10
19/05/2013,5341.5,-1,9
20/05/2013,5365.8,-8,6
21/05/2013,5370,13,8
22/05/2013,5372.4,11,7
23/05/2013,5384,6,15
24/05/2013,5403.9,-7,9
25/05/2013,5423,-4,12
26/05/2013,5441.7,0,10
27/05/2013,5458.7,0,7
28/05/2013,5487.9,18,5
29/05/2013,5502.4,-1,4
30/05/2013,5507.2,11,9
31/05/2013,5516.6,7,7
1/06/2013,5543,-14,4
2/06/2013,5559.5,2,6
3/06/2013,5588.7,-14,4
4/06/2013,5613.6,-12,6
5/06/2013,5640.5,-15,4
6/06/2013,5665.2,-10,12
7/06/2013,5689.7,-13,2
8/06/2013,5718,-17,1
9/06/2013,5747.3,-14,1
10/06/2013,5777.1,-15,1
11/06/2013,5802.2,-15,2
12/06/2013,5815.7,-2,2
13/06/2013,5828.5,1,2
14/06/2013,5836.8,7,2
15/06/2013,5861.2,-11,2
16/06/2013,5886.9,-9,3
17/06/2013,5902,-1,3
18/06/2013,5920.3,-8,1
19/06/2013,5938,-7,1
20/06/2013,5950.4,-1,1
21/06/2013,5968.9,-2,1
22/06/2013,5978,3,1
23/06/2013,5987.8,5,1
24/06/2013,6005.9,-3,3
25/06/2013,6013.4,5,5
26/06/2013,6035.4,-6,4
27/06/2013,6055.1,-7,3
28/06/2013,6072,-1,4
29/06/2013,6079,6,5
30/06/2013,6099.2,-5,4
1/07/2013,6122,-13,2
2/07/2013,6140,-6,1
3/07/2013,6156.2,-4,3
4/07/2013,6163.8,11,2
5/07/2013,6174.8,0,2
6/07/2013,6188,-1,1
7/07/2013,6211.9,-10,0
8/07/2013,6240.1,-18,0
9/07/2013,6266.9,-14,0
10/07/2013,6295.1,-18,0
11/07/2013,6314.7,-6,0
12/07/2013,6341.7,-12,0
13/07/2013,6354.3,-5,2
14/07/2013,6381.3,-12,1
15/07/2013,6401.4,-4,1
16/07/2013,6430.3,-22,0
17/07/2013,6454,-12,0
18/07/2013,6477,-11,0
19/07/2013,6503.5,-16,0
20/07/2013,6527.8,-14,0
21/07/2013,6545.6,-3,0
22/07/2013,6571,-16,0
23/07/2013,6594.2,-11,0
24/07/2013,6614.9,-11,0
25/07/2013,6641,-14,0
26/07/2013,6661,-9,0
27/07/2013,6678.4,-5,0
28/07/2013,6694.3,-4,0
29/07/2013,6717.8,-12,0
30/07/2013,6741.1,-13,0
31/07/2013,6749,5,0
1/08/2013,6766.7,-5,0
2/08/2013,6792.8,-16,0
3/08/2013,6814,-12,0
4/08/2013,6835.1,-10,0
5/08/2013,6859.8,-14,0
6/08/2013,6876.3,-6,0
7/08/2013,6888.9,2,0
8/08/2013,6891.6,12,1
9/08/2013,6910.6,-6,2
10/08/2013,6929.7,-7,1
11/08/2013,6944,-1,1
12/08/2013,6957,-4,1
13/08/2013,6970.7,0,2
14/08/2013,6995,-11,2
15/08/2013,7007,0,3
16/08/2013,7021,-4,2
17/08/2013,7035.7,-7,2
18/08/2013,7053.9,-5,1
19/08/2013,7070,-2,1
20/08/2013,7094,-11,1
21/08/2013,7110,-6,1
22/08/2013,7132,-10,2
23/08/2013,7140,3,1
24/08/2013,7162,-10,1
25/08/2013,7167,10,1
26/08/2013,7178,3,1
27/08/2013,7193,-5,1
28/08/2013,7214,-9,1
29/08/2013,7230,-5,1
30/08/2013,7252,-10,1
31/08/2013,7266,-1,1
1/09/2013,7286,-8,1
2/09/2013,7299,3,2
3/09/2013,7320,-9,2
4/09/2013,7332,0,1
5/09/2013,7352,-9,1
6/09/2013,7372,-7,1
7/09/2013,7383,-1,1
8/09/2013,7399,2,1
9/09/2013,7414,-3,1
10/09/2013,7420,3,3
11/09/2013,7430,8,6
12/09/2013,7437,7,6
13/09/2013,7447,5,4
14/09/2013,7452,8,6
15/09/2013,7458,2,4
16/09/2013,7468,7,5
17/09/2013,7485,0,5
18/09/2013,7492,7,7
19/09/2013,7497,9,9
20/09/2013,7504,7,6
21/09/2013,7514,5,7
22/09/2013,7527,6,5
23/09/2013,7533,9,4
24/09/2013,7543,3,3
25/09/2013,7559,-1,3
26/09/2013,7571,3,4
27/09/2013,7584,0,4
28/09/2013,7598,-3,8
29/09/2013,7610,3,7
30/09/2013,7625,2,6
1/10/2013,7640,-4,7
2/10/2013,7654,-1,6
3/10/2013,7670,0,4
4/10/2013,7680,4,5
5/10/2013,7688,8,4
6/10/2013,7692,13,4
7/10/2013,7701,6,4
8/10/2013,7711,2,6
