date,sales
2009-10-01,338630
2009-11-01,339386
2009-12-01,400264
2010-01-01,314640
2010-02-01,311022
2010-03-01,360819
2010-04-01,356460
2010-05-01,365713
2010-06-01,358675
2010-07-01,362027
2010-08-01,362682
2010-09-01,346069
2010-10-01,355212
2010-11-01,365809
2010-12-01,426654
2011-01-01,335608
2011-02-01,337352
2011-03-01,387092
2011-04-01,380754
2011-05-01,391970
2011-06-01,388636
2011-07-01,384600
2011-08-01,394548
2011-09-01,374895
2011-10-01,379364
2011-11-01,391081
2011-12-01,451669
2012-01-01,355058
2012-02-01,372523
2012-03-01,414275
2012-04-01,393035
2012-05-01,418648
2012-06-01,400996
2012-07-01,396020
2012-08-01,417911
2012-09-01,385597
2012-10-01,399341
2012-11-01,410992
2012-12-01,461994
2013-01-01,375537
2013-02-01,373938
2013-03-01,421638
2013-04-01,408381
2013-05-01,436985
2013-06-01,414701
2013-07-01,422357
2013-08-01,434950
2013-09-01,396199
2013-10-01,415740
2013-11-01,423611
2013-12-01,477205
2014-01-01,383399
2014-02-01,380315
2014-03-01,432806
2014-04-01,431415
2014-05-01,458822
2014-06-01,433152
2014-07-01,443005
2014-08-01,450913
2014-09-01,420871
2014-10-01,437702
2014-11-01,437910
2014-12-01,501232
2015-01-01,397252
2015-02-01,386935
2015-03-01,444110
2015-04-01,438217
2015-05-01,462615
2015-06-01,448229
2015-07-01,457710
2015-08-01,456340
2015-09-01,430917
